"No. overall";"No. in season";Title;Directed by;Written by;Original air date;"U.S. viewers (millions)"
1;1;"""A Hard Day's Night""";Peter Horton;Shonda Rhimes;March 27, 2005;16.25
2;2;"""The First Cut Is the Deepest""";Peter Horton;Shonda Rhimes;April 3, 2005;17.71
3;3;"""Winning a Battle, Losing the War""";Tony Goldwyn;Shonda Rhimes;April 10, 2005;17.99
4;4;"""No Man's Land""";Adam Davidson;James D. Parriott;April 17, 2005;19.18
5;5;"""Shake Your Groove Thing""";John David Coles;Ann Hamilton;April 24, 2005;17.90
6;6;"""If Tomorrow Never Comes""";Scott Brazil;Krista Vernoff;May 1, 2005;17.88
7;7;"""The Self-Destruct Button""";Darnell Martin;Kip Koenig;May 8, 2005;18.86
8;8;"""Save Me""";Sarah Pia Anderson;Mimi Schmir;May 15, 2005;18.33
9;9;"""Who's Zoomin' Who?""";Wendey Stanzler;Gabrielle Stanton & Harry Werksman, Jr.;May 22, 2005;22.22
10;1;"""Raindrops Keep Falling on My Head""";Peter Horton;Stacy McKee;September 25, 2005;18.98
11;2;"""Enough Is Enough""[27];""Enough Is Enough (No More Tears)""[28]";Peter Horton;James D. Parriott;October 2, 2005;17.57
12;3;"""Make Me Lose Control""";Adam Davidson;Krista Vernoff;October 9, 2005;18.12
13;4;"""Deny, Deny, Deny""";Wendey Stanzler;Zoanne Clack;October 16, 2005;18.28
14;5;"""Bring the Pain""";Mark Tinker;Shonda Rhimes;October 23, 2005;18.00
15;6;"""Into You Like a Train""";Jeff Melman;Krista Vernoff;October 30, 2005;16.67
16;7;"""Something to Talk About""";Adam Davidson;Stacy McKee;November 6, 2005;18.13
17;8;"""Let It Be""";Lesli Linka Glatter;Mimi Schmir;November 13, 2005;19.74
18;9;"""Thanks for the Memories""";Michael Dinner;Shonda Rhimes;November 20, 2005;20.33
19;10;"""Much too Much""";Wendey Stanzler;Gabrielle Stanton & Harry Werksman, Jr.;November 27, 2005;19.59
20;11;"""Owner of a Lonely Heart""";Daniel Minahan;Mark Wilding;December 4, 2005;20.59
21;12;"""Grandma Got Run Over by a Reindeer""";Peter Horton;Krista Vernoff;December 11, 2005;15.70
22;13;"""Begin the Begin""";Jessica Yu;Kip Koenig;January 15, 2006;18.97
23;14;"""Tell Me Sweet Little Lies""";Adam Davidson;Tony Phelan & Joan Rater;January 22, 2006;21.04
24;15;"""Break on Through""";David Paymer;Zoanne Clack;January 29, 2006;18.44
25;16;"""It's the End of the World""";Peter Horton;Shonda Rhimes;February 5, 2006;37.88
26;17;"""As We Know It""";Peter Horton;Shonda Rhimes;February 12, 2006;25.42
27;18;"""Yesterday""";Rob Corn;"Story by : Mimi Schmir Teleplay by : Krista Vernoff";February 19, 2006;24.36
28;19;"""What Have I Done to Deserve This?""";Wendey Stanzler;Stacy McKee;February 26, 2006;24.76
29;20;"""Band-Aid Covers the Bullet Hole""";Julie Anne Robinson;Gabrielle Stanton & Harry Werksman, Jr.;March 12, 2006;22.51
30;21;"""Superstition""";Tricia Brock;James D. Parriott;March 19, 2006;21.13
31;22;"""The Name of the Game""";Seith Mann;Blythe Robe;April 2, 2006;22.35
32;23;"""Blues for Sister Someone""";Jeff Melman;Elizabeth Klaviter;April 30, 2006;20.76
33;24;"""Damage Case""";Tony Goldwyn;Mimi Schmir;May 7, 2006;21.99
34;25;"""17 Seconds""";Daniel Minahan;Mark Wilding;May 14, 2006;22.60
35;26;"""Deterioration of the Fight or Flight Response""";Rob Corn;Tony Phelan & Joan Rater;May 15, 2006;22.50
